bills_M7_bad
"1. Critical Infrastructure Protection
2. Cybersecurity
2. Education Act
3. DOT Grant"
"1. Tax Reduction
2. Reform Act of 2007
3. Extensions of Tax Provisions"
"1. American Jobs
2. Matter Act
3. Contracts"
"1. Tariff Schedule
2. Duty Suspension
3. Electronic Transmitter"
"1. Sanctions
2. Syria
3. Humanitarian Assistance"
"1. GI Bill
2. Fairness Act
3. Education Assistance"
"1. Short Sea Shipping Act
2. Harbor Maintenance Tax
3. Great Lakes Saint Lawrence Seaway System"
"1. State Admission
2. Capitol Flags
3. California Anniversary"
"1. Puerto Rico
2. Hospital
3. HITECH"
"1. Juvenile Mentoring Program
2. At-risk Youth
3. Gang Prevention"
"1. Puppy
2. Protection
3. Safety"
"1. Rifle Squads
2. Funeral Ceremonies
3. Small Arms"
"1. Medicare
2. Physicians
3. Reserve Component"
"1. Employment
2. Young Americans
3. Funding"
"1. Tax
2. Relief
3. Amendment"
"1. Design-Build
2. Efficiency
3. Jobs Act"
"1. Budget
2. Accountability
3. Congress"
"1. Election Law
2. Lobbying
3. Corporate Spending"
"1. Social Security Administration
2. Accountability Act
3. Budget Estimate"
"1. Cosmetic Safety
2. Amendments Act
3. Registration Requirements"
"1. Military
2. Act
3. Amends"
"1. Alpine Lakes Wilderness
2. Snoqualmie Rivers Protection
3. Wilderness Designation"
"1. Juvenile Justice
2. Detention
3. Status Offenders"
"1. Repayment Options
2. Higher Education Act
3. Loan Borrowers"
"1. Student Success Act
2. Education Reform
3. Academic Achievement"
"1. Procurement
2. Research and Development
3. Missile Defense"
"1. District of Columbia
2. National Guard
3. Homeland Defense"
"1. National Security
2. Public Transportation
3. Homeland Security"
"1. Surveillance Laws
2. Electronic Communications
3. Reporting Act"
"1. Guantanamo Bay
2. Detention
3. Family Visits"
"1. Energy Waste Regulation
2. Sanitary Landfill Revisions
3. Open Dumping Practices"
"1. Medicaid DSH
2. Auditing
3. Payment"
"1. Presidential Records
2. Historical Preservation
3. Public Access"
"1. Tall Wood Building
2. Mass Timber
3. Innovation"
"1. Taxes
2. Investment
3. Education"
"1. Nuclear Regulatory Commission
2. Safety-related fines
3. Radiological emergency preparedness"
"1. Green
2. Export
3. Act"
"1. Military Leave
2. Family Leave
3. Employment Protection"
"1. Chief of Police
2. Reimbursement
3. Public Event"
"1. Gas Prices Act
2. Fuel Display
3. Trade Practices"
"1. Tax Credits
2. Energy Efficiency
3. Alternative Fuels"
"1. Post Offices
2. ADA Compliance
3. Public Accommodation Standards"
"1. CIA
2. UAV
3. Weapons strike"
"1. Arctic Marine Shipping
2. Coordination
3. Icebreaking"
"1. Air Quality
2. Review Interval
3. Dust Act"
"1. Regulatory Integrity Act
2. Pending Regulatory Actions
3. Public Communications"
"1. Farmer
2. Red Tape
3. Reduction"
"1. Tariff
2. Suspend
3. Duty"
"1. Medicare Act
2. Independent Payment Advisory Board
3. Prevention and Public Health Fund"
"1. Section 8 Reform
2. Responsibility
3. Accountability"
"1. Expedited Family Reunification Act
2. Unaccompanied Alien Children
3. Trafficking Victims Protection"
"1. Morris K. Udall Scholarship
2. National Environmental Policy
3. Udall Foundation Act"
"1. Shareholder Protection Act
2. Political Activities
3. SEC Oversight"
"1. Filipino Veterans
2. Family Reunification
3. Immigration Law"
"1. Complete Streets
2. Transportation
3. Safety"
"1. Space Shuttle
2. Memorial
3. National Park"
"1. Medicare
2. Prescription Drugs
3. Access"
"1. Protecting Taxpayers
2. Recovering Overpayments
3. Amending Act"
"1. Great Sand Dunes National Park
2. Baca National Wildlife Refuge
3. Water Resources Management"
"1. Solar Energy Development
2. Renewable Energy Leasing Pilot Program
3. Mitigation Banking Program"
"1. Family Income
2. Significant Transitions Act
3. Wage Replacement"
"1. Firearms
2. Restriction
3. Advertising"
"1. Expatriate
2. Terrorist
3. Act"
"1. Spectrum Act
2. Auctions
3. Public Safety"
"1. Education
2. Workforce
3. Innovation"
"1. Collegiate Housing
2. Infrastructure Improvement
3. Tax-Exempt Organizations"
"1. Weekends Without Hunger Act
2. At-risk school children
3. Commodity distribution"
"1. Haqqani Network
2. Terrorist Designation Act
3. Pakistan Sovereignty"
"1. Genetically Altered Salmon
2. Net-Pen Aquaculture
3. Environmental Impact"
"1. Respect for Local Laws
2. Immigration Law
3. Federal Government"
"1. Women's Business Programs
2. Women Entrepreneurs
3. Women's Business Centers"
"1. Official Language
2. Language Rights
3. Immigration"
"1. Congressional Gold Medal
2. Daw Aung San Suu Kyi
3. Peace, Nonviolence, Human Rights, Democracy"
"1. Military Honors
2. Veterans Affairs
3. Funeral Expenses"
"1. Social Security
2. Disability Insurance
3. Judicial Code"
"1. Social Security
2. Marriage
3. Divorce"
"1. Personal Data Privacy and Security Act of 2011
2. Identity Theft and Other Violations of Data Privacy and Security
3. Privacy and"
"1. Tariff Schedule
2. Footwear
3. Rubber/Plastics"
"1. Child Care
2. Infant Mortality
3. Prevention Act"
"1. Physician Access
2. Teaching Hospitals
3. Resident Positions"
"1. Immigration
2. Law Enforcement
3. Homeland Security"
"1. Rural Hospital
2. Access Act
3. Medicare Program"
"1. Classification
2. Training
3. Intelligence"
"1. Trauma Care
2. Grants
3. Public Health"
"1. Employment Eligibility Verification
2. Sanctions for Noncompliance
3. Phased Implementation"
"1. American Hunger Act
2. Food Stamps
3. Nutrition Assistance Program"
"1. Agriculture
2. Labor
3. Minors"
"1. Home Health Care
2. Access Protection
3. Act of 2010"
"1. Veterans Health Care
2. Quality Improvement
3. Physician Appointment"
"1. Medicare
2. Hospital
3. Wage"
"1. Food Stamps
2. Asset Test
3. SSI/SCHIP"
"1. Health Information Technology
2. Telehealth
3. Reporting"
"1. Motor Vehicle Manufacturers
2. Safety Standards
3. Clean Air Act"
"1. Health Promotion
2. Funding
3. Research"
"1. Nuclear Waste
2. Remediation
3. Regulation"
"1. National Guard
2. Reservists
3. Financial Relief"
"1. University of the District of Columbia
2. Graduate Programs Act
3. Federal Grants"
"1. Small Business
2. Children's Health
3. Education"
"1. Veterans' Health
2. Complementary and Alternative Medicine
3. Wellness Programs"
"1. Social Security Number Misuse
2. Privacy and Data Security
3. Public Records"
"1. ATF
2. Enforcement
3. Appropriations"
"1. School Construction
2. Bond Issuance
3. Tax Credit"
"1. Reinvesting
2. Global Competitiveness
3. CBO Analysis"
"1. Senate Committee
2. Government Waste
3. Federal Programs"
